profile=eprof direction=upload size=67108864
✓ Switched active account for github.com to mjc
FUNCTION                                                                   CALLS        %    TIME  [uS / CALLS]
--------                                                                   -----  -------    ----  [----------]
'Elixir.Agent':get/2                                                           2     0.00       0  [      0.00]
'Elixir.Agent':get/3                                                           2     0.00       0  [      0.00]
'Elixir.Agent':update/2                                                        1     0.00       0  [      0.00]
'Elixir.Agent':update/3                                                        1     0.00       0  [      0.00]
'Elixir.Code':ensure_loaded/1                                                  2     0.00       0  [      0.00]
'Elixir.Enum':each/2                                                           1     0.00       0  [      0.00]
'Elixir.Enum':find/2                                                           6     0.00       0  [      0.00]
'Elixir.Enum':find/3                                                           6     0.00       0  [      0.00]
inet:tcp_close/1                                                               1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Wire':boolean/1                                              2     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Wire':name_list/1                                            1     0.00       0  [      0.00]
'Elixir.Sftpd.Backend':'root_path?'/1                                          4     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':decode_attrs/1                                       1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':decode_attrs/3                                       2     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':decode_extensions/1                                  1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':decode_extensions/2                                  1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':encode_attrs/1                                       1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':handle/2                                             1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':maybe_flag/4                                         4     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':name/2                                               1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':permissions/1                                        1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':request_type/1                                       2     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':version/1                                            1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':version/2                                            1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Codec':'-name/2-fun-0-'/1                                   1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Cipher':new/5                                                2     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':'append_open?'/1                                     1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':'create_open?'/1                                     1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':normalize_request_path/1                             3     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':'read_open?'/1                                       1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':'truncate_open?'/1                                   1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Paths':'write_open?'/1                                      1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Session':'max_handles_reached?'/1                           1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Session':new/4                                              1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Session':prepare_write_handle/4                             1     0.00       0  [      0.00]
crypto:is_heavy/1                                                              1     0.00       0  [      0.00]
crypto:verify/6                                                                1     0.00       0  [      0.00]
crypto:sign_verify_compatibility/3                                             2     0.00       0  [      0.00]
crypto:generate_key/2                                                          1     0.00       0  [      0.00]
crypto:generate_key/3                                                          1     0.00       0  [      0.00]
crypto:compute_key/4                                                           1     0.00       0  [      0.00]
crypto:max_bytes/0                                                             7     0.00       0  [      0.00]
crypto:ensure_int_as_bin/1                                                     5     0.00       0  [      0.00]
crypto:format_pkey/2                                                           2     0.00       0  [      0.00]
'Elixir.Keyword':'fetch!'/2                                                    2     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Handles':cleanup_open_handles/2                             1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Handles':new/1                                              1     0.00       0  [      0.00]
'Elixir.Sftpd.SFTP.Handles':put/3                                              1     0.00       0  [      0.00]
'Elixir.Sftpd.Auth.Adapter':authorize_public_key/3                             2     0.00       0  [      0.00]
prim_inet:close/1                                                              1     0.00       0  [      0.00]
prim_inet:close_port/1                                                         1     0.00       0  [      0.00]
prim_inet:getopt/2                                                             1     0.00       0  [      0.00]
prim_inet:getopts/2                                                            1     0.00       0  [      0.00]
prim_inet:subscribe/2                                                          1     0.00       0  [      0.00]
prim_inet:enc_opt/1                                                            1     0.00       0  [      0.00]
prim_inet:dec_opt/1                                                            1     0.00       0  [      0.00]
prim_inet:type_opt/2                                                           2     0.00       0  [      0.00]
prim_inet:type_value/2                                                         1     0.00       0  [      0.00]
prim_inet:enc_value/2                                                          1     0.00       0  [      0.00]
prim_inet:dec_value/2                                                          3     0.00       0  [      0.00]
prim_inet:dec_value_tuple/4                                                    3     0.00       0  [      0.00]
prim_inet:encode_opts/1                                                        1     0.00       0  [      0.00]
prim_inet:enc_opts/1                                                           2     0.00       0  [      0.00]
prim_inet:decode_opt_val/1                                                     1     0.00       0  [      0.00]
prim_inet:dec_opt_val/1                                                        2     0.00       0  [      0.00]
prim_inet:dec_opt_val/3                                                        1     0.00       0  [      0.00]
prim_inet:encode_subs/1                                                        1     0.00       0  [      0.00]
prim_inet:enc_subs/1                                                           2     0.00       0  [      0.00]
prim_inet:decode_subs/1                                                        1     0.00       0  [      0.00]
prim_inet:dec_subs/1                                                           2     0.00       0  [      0.00]
prim_inet:rev/1                                                                1     0.00       0  [      0.00]
prim_inet:rev/2                                                                3     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Packet':encode_clear/1                                       3     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Packet':padding_len/2                                        3     0.00       0  [      0.00]
gen_tcp:close/1                                                                1     0.00       0  [      0.00]
pubkey_cert_records:namedCurves/1                                              2     0.00       0  [      0.00]
public_key:sign/3                                                              1     0.00       0  [      0.00]
public_key:sign/4                                                              1     0.00       0  [      0.00]
public_key:verify/4                                                            1     0.00       0  [      0.00]
public_key:verify/5                                                            1     0.00       0  [      0.00]
public_key:format_verify_key/1                                                 1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':cleanup_open_handles/1                               1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':curve25519_shared_secret/1                           1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':fetch_active_channel/2                               2     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':'max_channels_reached?'/1                            1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':maybe_skip_wrong_kex_guess/4                         1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':parse_want_reply/1                                   3     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':recv_clear_transport_packet/2                        1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':serve_encrypted/2                                    1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':'sftp_buffer_empty?'/1                               1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':sync_active_channel/1                                1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':trim_banner/1                                        1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':userauth_failure/2                                   1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':validate_curve25519_public_key/1                     1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':verify_ed25519_signature/3                           1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':'-handle_public_key_userauth/3-fun-0-'/3             1     0.00       0  [      0.00]
'Elixir.Sftpd.SSH.Server':'-handle_encrypted_payload/3-fun-2-'/4               3     0.00       0  [      0.00]
